Subject,Experiment Number,Model,Threshold Value,Execution Time,Left Count,Left Good Pred - TN,Left Bad Pred - FP,Right Count,Right Good Pred - TP,Right Bad Pred - FN
g,1,LR,,170.50658202171326,42,38,4,83,76,7
g,2,LR,,179.990172624588,44,38,6,82,74,8
g,3,LR,,206.32420420646667,42,40,2,87,78,9
g,4,LR,,190.72217345237732,52,40,12,73,69,4
g,5,LR,,183.1067624092102,50,40,10,72,71,1
g,6,LR,,174.98554182052612,46,40,6,85,75,10
g,7,LR,,201.99943661689758,46,40,6,80,75,5
g,8,LR,,160.282381772995,44,40,4,82,77,5
g,9,LR,,172.64787983894348,43,40,3,92,78,14
g,10,LR,,147.50297284126282,44,40,4,82,77,5
c,1,LR,,186.75998282432556,41,40,1,102,80,22
c,2,LR,,239.32029056549072,41,40,1,95,79,16
c,3,LR,,204.74314856529236,42,40,2,101,80,21
c,4,LR,,185.56382298469543,43,40,3,100,78,22
c,5,LR,,187.0009207725525,42,40,2,108,79,29
c,6,LR,,209.83476519584656,40,40,0,107,81,26
c,7,LR,,180.75056982040405,41,40,1,102,80,22
c,8,LR,,204.34834551811218,44,40,4,95,76,19
c,9,LR,,210.4052927494049,41,40,1,109,80,29
c,10,LR,,181.71377515792847,40,40,0,96,81,15
