Experiment Number,Model,Threshold,Execution Time,Left Count,TN,FP,Left No Actions,Right Count,TP,FN,Right No Actions
1,LR,0.2,357.18612408638,52,40,0,12,110,81,14,15
2,LR,0.2,204.00093626976013,60,40,0,20,95,81,8,6
3,LR,0.2,223.6863830089569,54,40,0,14,117,81,17,19
4,LR,0.2,211.95296335220337,48,40,0,8,114,81,13,20
5,LR,0.2,203.74329352378845,61,40,0,21,102,82,9,11
6,LR,0.2,191.7712094783783,54,40,0,14,96,81,5,10
7,LR,0.2,209.25430178642273,54,40,0,14,107,81,11,15
8,LR,0.2,237.85037469863892,52,40,0,12,107,81,12,14
9,LR,0.2,315.6705482006073,67,40,0,27,116,82,17,17
10,LR,0.2,220.919203042984,57,40,0,17,102,82,10,10
10,LR,0.1,229.43930220603943,102,41,8,53,85,73,0,12
2,LR,0.1,303.1120185852051,98,40,10,48,83,71,0,12
3,LR,0.1,209.6224009990692,103,40,14,49,86,67,0,19
4,LR,0.1,215.35100531578064,108,38,9,61,90,72,0,18
5,LR,0.1,248.23910284042358,120,40,15,65,86,66,0,20
6,LR,0.1,244.42718386650085,138,40,14,84,79,67,0,12
7,LR,0.1,248.54228901863098,107,39,10,58,86,71,0,15
8,LR,0.1,209.46523523330688,98,40,14,44,77,67,0,10
9,LR,0.1,184.96951580047607,89,40,12,37,81,69,0,12
10,LR,0.1,211.9285409450531,110,40,13,57,84,68,0,16
11,LR,0.2,177.6012840270996,56,40,0,16,102,81,12,9
